case,profile,seed,strategy,run_id,status,audit_passed,archive,source,methane_kg,curtailed_kwh,reactor_starts,electrolyser_starts,forced_downtime_hours,limited_solves,fallbacks,total_eur,variable_and_wear_eur,assumed_contribution_eur,false_alarms,uncertain_hours,co2_rejected_kg,ending_battery_kwh,ending_h2_kg,ending_co2_kg,ending_temperature_c,ending_electrolyser_on,ending_reactor_on,ending_commitment_hours
19-reference,reference,19,MPC · economics,dd4419f8503feb49,complete,True,experiments/9af118de5659fdae/19-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,214.59681848897324,1573.3491711854174,2.0,2.0,0,0,0,667.46717060288,155.42894959140793,59.16786889756531,0,30,0.0,8.526271748923135,0.06966295382978059,209.85874915532358,64.52585545865615,False,False,0
19-retentive,retentive,19,Greedy,e9e50b4af5be8ac3,complete,True,experiments/9af118de5659fdae/19-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,284.75382671637215,109.00254239414895,2.0,2.0,0,0,0,703.7918744331072,244.5094168380515,40.24440987832065,0,27,0.0,2.3092638912203256e-14,4.350902286935616,16.926976529976695,396.4275706560394,False,True,0
19-retentive,retentive,19,MPC · methane,e9e50b4af5be8ac3,complete,True,experiments/9af118de5659fdae/19-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,257.2426016247925,825.4992063528284,4.0,2.0,0,5,0,694.856371402591,223.60431517059905,33.638286454193434,0,26,0.0,2.7569058147491887e-12,5.396529329248272,92.5828455318207,94.24301691565827,False,False,0
19-retentive,retentive,19,MPC · economics,e9e50b4af5be8ac3,complete,True,experiments/9af118de5659fdae/19-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,239.8594792141458,1549.032862418786,2.0,2.0,0,2,0,680.3102635952588,170.79573555103335,69.06374366311246,0,29,0.0,1.4649555896650543,0.10010131114895326,140.38643216109895,94.24301691565827,False,False,0
19-storage-constrained,storage-constrained,19,Greedy,484eb08975232a77,complete,True,experiments/9af118de5659fdae/19-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,236.36363636363637,517.6200162874006,2.0,2.0,0,0,0,633.4810236137012,197.05636607945445,39.307270284181925,0,28,0.0,0.0,5.18127930643155,0.0,180.7498819569587,False,False,0
19-storage-constrained,storage-constrained,19,MPC · methane,484eb08975232a77,complete,True,experiments/9af118de5659fdae/19-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,205.7309660395404,1541.3545555397154,3.0,2.0,0,4,0,617.507649404037,171.03202645779498,34.69893958174541,0,29,0.0,1.1051676970002184,4.703491966272028,84.2398433912639,70.14148002425758,False,False,0
19-storage-constrained,storage-constrained,19,MPC · economics,484eb08975232a77,complete,True,experiments/9af118de5659fdae/19-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,220.0614999763394,1419.2587252261173,2.0,2.0,0,3,0,622.9699443742871,158.1827102162636,61.87878976007582,0,30,0.0,7.691182400918741,0.06864811400357101,44.83087506506669,67.58881736492685,False,False,0
41-coupled-stress,coupled-stress,41,Greedy,5963a5f8bcb838bb,complete,True,experiments/9af118de5659fdae/41-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,170.0,1147.5238339464468,2.0,3.0,0,0,0,613.3711832784611,176.94652574421448,-6.946525744214483,0,28,0.0,0.0,13.98572063209808,182.5,109.22010493187072,False,False,0
41-coupled-stress,coupled-stress,41,MPC · methane,5963a5f8bcb838bb,complete,True,experiments/9af118de5659fdae/41-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,199.86212724956567,975.4577085071045,2.0,2.0,0,20,0,619.9774073945164,179.35274986026977,20.509377389295906,0,30,0.0,67.18354039980304,1.7763568394002505e-14,100.37915006369445,120.91245388431352,False,False,0
41-coupled-stress,coupled-stress,41,MPC · economics,5963a5f8bcb838bb,complete,True,experiments/9af118de5659fdae/41-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,167.63653752731668,2363.3989901352124,2.0,2.0,0,2,0,595.7511369076196,121.42009894004822,46.216438587268456,0,34,0.0,11.446896784954406,-1.7763568394002505e-14,188.99952179987915,78.04771733849479,False,False,0
41-demanding,demanding,41,Greedy,91085e8aae5d78a9,complete,True,experiments/9af118de5659fdae/41-demanding/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,170.0,1.746282304859903e-14,2.0,2.0,0,0,0,651.8527389508791,196.84314990978316,-26.843149909783165,0,27,0.0,0.0,32.17436548711518,332.5,109.22010493187072,False,False,0
41-demanding,demanding,41,MPC · methane,91085e8aae5d78a9,complete,True,experiments/9af118de5659fdae/41-demanding/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,208.0343735188512,731.6094280093084,2.0,2.0,0,17,0,664.47198590496,198.04693037715822,9.987443141692978,0,30,0.0,36.00755513195155,0.0,227.9054728231592,152.83531035133956,False,False,0
41-demanding,demanding,41,MPC · economics,91085e8aae5d78a9,complete,True,experiments/9af118de5659fdae/41-demanding/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,157.54193800024808,2704.5533655949384,2.0,2.0,0,2,0,637.4726815262362,113.48389176609068,44.0580462341574,0,35,0.0,10.174304821065414,0.0,366.7596704993178,78.04771733849475,False,False,0
41-reference,reference,41,Greedy,9bcc46294a41c030,complete,True,experiments/9af118de5659fdae/41-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,257.33837561805313,-2.1316282072803006e-14,2.0,2.0,0,0,0,701.467159490627,246.45757044953095,10.880805168522187,0,27,0.0,0.0,18.811424135973784,92.31946705035386,352.1036143501635,False,True,0
41-reference,reference,41,MPC · methane,9bcc46294a41c030,complete,True,experiments/9af118de5659fdae/41-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,244.79365850618902,897.3204385858821,4.0,2.0,0,10,0,686.7734288049824,223.85110481177733,20.942553694411686,0,27,0.0,0.7741534985527672,10.359557228178184,126.81743910798025,132.30397821676462,False,False,0
41-reference,reference,41,MPC · economics,9bcc46294a41c030,complete,True,experiments/9af118de5659fdae/41-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,211.47493784814316,2508.17465108032,2.0,2.0,0,3,0,666.0391629569525,149.71035227133393,61.764585576809225,0,32,0.0,5.034108268734103,-2.5120594179239723e-17,218.44392091760628,108.02275117092609,False,False,0
41-retentive,retentive,41,Greedy,0d944fd9455ca463,complete,True,experiments/9af118de5659fdae/41-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,215.69307887725532,6.252776074688882e-13,2.0,2.0,0,0,0,683.1117840341101,230.029592253288,-14.336513376032684,0,26,0.0,4.547473508864641e-13,59.400185106161615,206.84403308754787,94.24301691565827,False,False,0
41-retentive,retentive,41,MPC · methane,0d944fd9455ca463,complete,True,experiments/9af118de5659fdae/41-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,278.19836574339024,1380.9235408852714,6.0,2.0,0,4,0,708.467190008523,226.09832958785785,52.10003615553239,0,28,0.0,1.511346937728021,0.41285634052804276,34.95449420567677,400.0,False,True,0
41-retentive,retentive,41,MPC · economics,0d944fd9455ca463,complete,True,experiments/9af118de5659fdae/41-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,252.57691962118784,2057.7369187049753,2.0,2.0,0,0,0,687.427782321241,176.43711560595364,76.1398040152342,0,30,0.0,9.581802536363153,3.552713678800501e-15,105.41347104173346,148.17496170917346,False,False,0
41-storage-constrained,storage-constrained,41,Greedy,5c85a248fa615526,complete,True,experiments/9af118de5659fdae/41-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,236.36363636363635,549.2932282142359,2.0,2.0,0,0,0,646.5642397018041,212.2395821675574,24.12405419607896,0,27,0.0,0.0,20.196049624414783,7.105427357601002e-15,167.5277663208445,False,False,0
41-storage-constrained,storage-constrained,41,MPC · methane,5c85a248fa615526,complete,True,experiments/9af118de5659fdae/41-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,226.5241782096262,2040.3255283048093,4.0,2.0,0,8,0,630.5744572384117,188.0498200698042,38.47435813982199,0,29,0.0,0.03981242674174901,-8.881784197001252e-16,27.058509923527957,104.90849051975759,False,False,0
41-storage-constrained,storage-constrained,41,MPC · economics,5c85a248fa615526,complete,True,experiments/9af118de5659fdae/41-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,211.80245576760538,2499.658847539899,2.0,2.0,0,1,0,619.2020459994045,149.8465840471079,61.95587172049747,0,32,0.0,4.379834274283679,7.860379014346108e-14,67.54324663908524,104.19228211842875,False,False,0
7-coupled-stress,coupled-stress,7,Greedy,ebd74991e3192da5,complete,True,experiments/9af118de5659fdae/7-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,150.0,634.1304400277271,2.0,3.0,0,0,0,599.8896086570073,163.46495112276062,-13.464951122760624,0,28,0.0,5.684341886080802e-14,27.392440552319215,237.5,64.96802180643323,False,False,0
7-coupled-stress,coupled-stress,7,MPC · methane,ebd74991e3192da5,complete,True,experiments/9af118de5659fdae/7-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,205.87642203041807,573.4116993397099,2.0,2.0,0,18,0,617.3714413538303,178.8467838195836,27.029638210834463,0,29,0.0,4.394428169106323,0.11572701832225875,83.83983941635026,96.55189367936194,False,False,0
7-coupled-stress,coupled-stress,7,MPC · economics,ebd74991e3192da5,complete,True,experiments/9af118de5659fdae/7-coupled-stress/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,176.5891281488779,1699.3231896961067,2.0,2.0,0,4,0,599.8392029156844,127.75308665325677,48.83604149562113,0,33,0.0,10.410521039798216,0.11815092957635898,164.3798975905857,63.958539216459954,False,False,0
7-demanding,demanding,7,Greedy,a21603b611f9b4a0,complete,True,experiments/9af118de5659fdae/7-demanding/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,170.0,1.4210854715202004e-13,2.0,2.0,0,0,0,645.5379285156488,171.12194553885888,-1.1219455388588813,0,28,0.0,0.0,27.797671494482394,332.5,102.47566783760432,False,False,0
7-demanding,demanding,7,MPC · methane,a21603b611f9b4a0,complete,True,experiments/9af118de5659fdae/7-demanding/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,211.20276375733192,367.9919392781848,2.0,2.0,0,15,0,665.9203002702658,188.388290041994,22.814473715337925,0,29,0.0,7.748141809576062,0.059448972998469074,219.1923996673372,120.87016610936497,False,False,0
7-demanding,demanding,7,MPC · economics,a21603b611f9b4a0,complete,True,experiments/9af118de5659fdae/7-demanding/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,186.99861351269254,1310.2792625981222,2.0,2.0,0,3,0,652.2235305554881,135.75649345295903,51.24212005973351,0,32,0.0,12.242903775421178,0.0,285.7538128400955,78.10898856176478,False,False,0
7-reference,reference,7,Greedy,e7b3afd26ede7a7c,complete,True,experiments/9af118de5659fdae/7-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,248.4747191931924,115.1594463521279,2.0,2.0,0,0,0,685.5707409010615,212.0311653510018,36.443553842190624,0,28,0.0,0.0,15.63772335006687,116.69452221872086,280.8055191526939,False,False,0
7-reference,reference,7,MPC · methane,e7b3afd26ede7a7c,complete,True,experiments/9af118de5659fdae/7-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,265.5102372606161,522.3473811879716,2.0,2.0,0,5,0,693.9912188476695,212.90687722194974,52.60336003866638,0,28,0.0,0.0,0.06562412793293326,69.8468475333056,169.16289295072315,False,False,0
7-reference,reference,7,MPC · economics,e7b3afd26ede7a7c,complete,True,experiments/9af118de5659fdae/7-reference/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,233.1351688913379,1471.9750201476654,2.0,2.0,0,0,0,676.5720648637944,163.6493684388166,69.48580045252132,0,31,0.0,2.8230950769767027,0.0,158.87828554882066,156.8492710362989,False,False,0
7-retentive,retentive,7,Greedy,22062e00770f7ff1,complete,True,experiments/9af118de5659fdae/7-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,265.0653440710937,113.80068991001488,2.0,2.0,0,0,0,695.1820042290374,224.64593862484404,40.41940544624967,0,28,0.0,3.197442310920451e-14,24.02028570772427,71.0703038044923,305.8672810104336,False,False,0
7-retentive,retentive,7,MPC · methane,22062e00770f7ff1,complete,True,experiments/9af118de5659fdae/7-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,289.1578076741598,526.1093615259701,5.0,2.0,0,7,0,714.4417495971927,226.51448061347054,62.64332706068927,0,27,0.0,7.988339533046673,4.085729858406792,4.816028896060537,306.57774109238875,False,True,0
7-retentive,retentive,7,MPC · economics,22062e00770f7ff1,complete,True,experiments/9af118de5659fdae/7-retentive/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,277.03055901714526,964.9659539596638,2.0,2.0,0,2,0,700.0118755637642,192.45713748871535,84.57342152842992,0,29,0.0,3.278760485275079,1.3038042364093616,38.16596270285048,188.26951072694823,False,False,0
7-storage-constrained,storage-constrained,7,Greedy,a0cace0076a106ef,complete,True,experiments/9af118de5659fdae/7-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,236.36363636363637,221.06223625521307,2.0,2.0,0,0,0,639.6402502114562,203.21559267720943,33.148043686426945,0,28,0.0,0.0,19.00893770990464,0.0,143.50560661488552,False,False,0
7-storage-constrained,storage-constrained,7,MPC · methane,a0cace0076a106ef,complete,True,experiments/9af118de5659fdae/7-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,203.32542745186907,1164.2858837387482,3.0,2.0,0,8,0,617.695023997439,171.48773394984792,31.837693502021153,0,30,0.0,53.229034802888975,19.623229409136123,90.85507450736,96.55189367936171,False,False,0
7-storage-constrained,storage-constrained,7,MPC · economics,a0cace0076a106ef,complete,True,experiments/9af118de5659fdae/7-storage-constrained/result.json.gz,c4af5c539bbcfdb6f2447ddb2443c98691197a524c0bf754cddd1119e24aa413,231.96380676181718,1503.9918860281512,2.0,2.0,0,1,0,629.0522080439347,163.0602504044076,68.90355635740957,0,31,0.0,4.2874418017780656,-1.7763568394002505e-15,12.099531405002729,151.96179810655897,False,False,0
